price,bedrooms,living_area,kitchen_type,furnished,terrace_surface,garden_surface,plot_surface,frontage,swimming_pool,condition,property_type
500000,2,90,0,0,12,0,90,2,0,1,0
84000,1,89,0,1,0,125,167,2,0,4,1
475000,3,163,1,0,8,0,163,3,0,1,2
425000,5,190,3,0,0,0,1520,4,0,4,1
2700000,5,557,1,0,50,60,557,2,0,1,2
450000,2,125,1,0,10,0,125,2,0,1,0
349000,2,87,1,1,2,0,87,2,0,2,2
299000,2,80,2,0,16,0,80,2,0,4,0
4950000,6,750,1,0,150,0,20000,4,1,2,3
460000,3,116,3,0,9,237,116,2,0,1,0
230000,3,180,0,0,17,123,190,3,0,1,3
359000,3,120,0,0,0,300,740,2,0,2,4
325000,2,97,1,0,17,0,97,2,0,1,2
115000,3,120,0,0,0,119,189,2,0,4,1
319500,2,90,1,0,10,0,90,4,0,2,0
210000,2,85,2,0,0,0,85,2,0,1,0
2450000,8,730,1,0,0,0,3000,4,1,1,5
229000,5,150,0,0,0,0,180,2,0,4,1
569000,3,216,1,1,25,0,100,2,0,1,1
276000,2,70,1,0,3,0,70,2,0,1,0
450000,3,125,1,0,0,0,141,3,0,3,1
1350000,3,228,1,0,61,300,228,3,0,1,6
275000,1,78,1,0,0,0,78,4,0,1,0
2900000,5,500,1,0,20,0,500,3,0,1,0
329000,3,175,2,0,0,0,200,3,0,5,1
285000,4,116,2,0,7,0,146,2,0,2,1
220000,1,63,2,0,0,0,63,2,0,2,0
345000,3,140,1,0,8,0,140,2,0,1,7
2600000,5,400,1,0,60,700,1425,4,0,2,3
450000,2,101,1,0,25,0,101,2,0,2,7
499500,4,394,2,0,0,430,590,2,0,2,5
395000,3,260,2,0,98,0,260,3,0,1,8
249000,2,101,1,0,0,0,101,2,0,1,0
235000,2,78,1,0,18,0,78,2,0,2,0
1200000,3,125,1,0,0,0,125,3,0,1,2
229000,3,176,3,0,0,0,738,4,0,2,1
445000,2,118,2,0,12,0,118,2,0,2,8
494000,4,199,2,0,24,1597,1734,4,0,2,3
259000,3,131,0,0,0,0,814,2,0,2,1
275000,3,175,3,0,0,0,217,2,0,4,1
279000,4,146,0,0,0,0,646,4,0,4,1
255000,2,105,1,0,18,0,105,2,0,1,0
187500,2,99,2,0,8,0,99,2,0,2,0
405000,3,105,1,0,12,0,105,2,0,1,0
197500,3,112,2,0,2,0,112,2,0,1,2
219000,3,128,0,0,0,0,1223,4,0,5,1
245000,3,112,1,0,8,1,112,2,0,1,6
134200,2,71,1,0,0,0,71,2,0,1,0
789000,3,244,1,0,0,0,6063,4,0,2,3
250000,3,135,0,0,0,0,135,2,0,2,0
285000,2,84,1,0,0,0,84,2,0,2,0
332500,2,100,0,0,20,0,100,2,0,1,0
335000,3,394,0,0,0,110,418,3,0,4,4
479000,4,175,2,0,28,0,280,2,0,2,1
300000,3,396,2,0,0,93,318,2,0,2,1
295000,1,65,2,0,0,0,65,2,0,1,0
259000,11,256,3,0,0,0,113,2,0,2,1
231500,2,90,2,0,6,0,90,2,0,2,0
430000,4,191,1,0,0,0,573,4,0,2,3
469000,3,129,2,0,10,0,129,3,0,1,2
419000,5,183,1,0,0,0,828,2,0,1,1
565000,3,135,0,0,25,443,578,4,0,5,1
279000,3,124,2,0,16,0,80,2,0,2,1
279000,1,81,1,0,4,0,81,2,0,2,0
550000,4,197,2,0,4,0,190,3,0,3,9
325000,3,603,0,0,0,0,1442,4,0,4,1
215000,4,180,2,0,25,300,348,2,0,2,1
440000,2,92,1,0,0,0,92,2,0,1,0
155000,3,165,3,0,0,0,350,4,0,4,1
95000,2,83,3,0,0,120,180,2,0,2,1
389000,3,267,0,0,0,0,138,2,0,4,10
1400000,5,300,1,0,20,0,209,2,0,1,11
239000,3,212,2,0,55,0,175,2,0,5,1
205000,3,152,3,0,0,538,538,2,0,5,1
217000,2,119,2,0,13,0,119,2,0,2,0
525000,5,329,1,0,0,0,526,3,0,2,5
180000,5,200,2,0,10,122,215,2,0,2,1
197000,2,80,2,0,9,0,80,3,0,1,7
795000,2,150,1,0,0,0,150,2,0,1,6
295000,3,143,0,0,0,0,95,2,0,3,10
245000,3,124,2,0,0,114,124,2,0,5,0
445000,2,107,1,0,17,0,107,2,0,1,0
198000,3,123,0,0,0,0,123,2,0,2,0
300000,4,165,0,0,0,80,310,2,0,2,1
159000,2,100,0,0,45,45,115,3,0,2,1
185000,2,65,3,1,15,300,65,2,1,2,0
354975,2,105,2,0,8,0,105,2,0,2,0
202500,2,89,2,0,45,0,89,2,0,1,0
130000,2,120,3,0,0,0,80,2,0,4,1
2450000,6,446,1,1,0,266,266,3,0,1,1
257500,2,103,2,0,6,0,103,2,0,2,0
225000,3,177,2,0,0,0,3774,4,0,2,1
375000,4,160,2,0,20,50,160,2,0,5,1
449000,5,260,2,0,38,2050,2813,4,0,2,1
530000,3,146,1,0,26,300,680,4,0,5,3
795000,6,300,2,0,0,0,621,3,0,5,1
585000,2,157,2,0,20,252,157,2,0,1,0
499000,2,110,0,0,0,0,110,2,0,1,0
1050000,5,468,2,0,0,53,170,2,0,2,11
369000,3,120,2,0,14,0,120,2,0,1,0
709000,3,219,0,0,10,0,219,2,0,1,0
885000,4,320,1,0,0,3000,3037,2,0,1,3
185000,3,160,0,0,0,0,46,3,0,2,4
249000,4,145,1,0,0,230,409,2,0,5,1
360000,3,170,2,0,0,875,1097,4,0,2,1
375000,3,125,1,0,0,0,125,4,0,1,0
245000,2,180,0,0,32,3000,3413,2,0,2,1
249000,2,93,2,0,12,0,93,2,0,1,0
340000,2,160,1,0,0,0,160,2,0,1,8
399000,4,220,1,0,66,0,1640,4,0,3,3
360000,2,110,1,0,30,0,110,2,0,1,0
270000,5,600,3,0,0,2661,2661,2,0,4,3
150000,1,53,1,0,0,0,53,2,0,1,0
225000,4,205,0,0,0,0,224,2,0,2,11
165000,2,133,2,0,0,0,280,2,0,5,1
4300000,8,950,2,0,150,500,11600,4,1,4,1
495000,4,145,0,0,40,560,145,4,0,2,1
349000,4,230,1,0,15,0,115,3,0,3,1
1680000,6,460,1,0,54,0,2400,4,0,1,5
285000,1,88,1,0,0,0,88,4,0,1,0
215000,2,99,2,0,4,0,99,2,0,2,0
750000,5,368,1,0,0,0,1150,4,0,1,3
739000,3,213,2,0,0,0,213,2,0,1,0
525000,6,384,2,0,30,2000,2000,4,0,2,1
95000,2,250,0,0,0,0,250,3,0,4,1
499000,4,245,2,1,0,64,245,2,0,1,8
355000,3,125,2,0,55,0,125,2,0,2,7
255000,3,288,3,0,0,0,266,3,0,2,1
220000,4,129,2,0,0,0,43,2,0,5,1
1775000,8,350,1,0,0,0,270,3,0,1,3
289000,3,107,2,0,30,0,107,4,0,2,0
389000,3,150,2,0,7,0,112,2,0,2,1
225000,2,92,1,0,2,0,92,2,0,5,0
