Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property
bruxelles,"500,000",2,90,USA uninstalled,0,12,None,None,2,0,As new,apartment
oupeye,"84,000",1,89,Not installed,1,None,125,167,2,None,To renovate,house
laeken,"475,000",3,163,USA hyper equipped,0,8,None,None,3,None,As new,duplex
boutersem,"425,000",5,190,Semi equipped,0,None,None,1520,4,0,To renovate,house
ixelles,"2,700,000",5,557,Hyper equipped,None,50,60,None,2,None,As new,duplex
forest,"137,500",None,45,None,0,None,None,None,None,None,To renovate,flat-studio
bruxelles,"450,000",2,125,Hyper equipped,0,10,None,None,None,0,As new,apartment
koksijde,"349,000",2,87,Hyper equipped,1,2,None,None,None,0,Good,duplex
waterloo,"299,000",2,80,Installed,0,16,None,None,None,None,To renovate,apartment
tervuren,"4,950,000",6,750,Hyper equipped,None,150,None,20000,4,1,Good,villa
uccle,"460,000",3,116,USA semi equipped,None,9,237,None,2,0,As new,apartment
mortroux,"230,000",3,180,Not installed,0,17,123,190,3,None,As new,villa
herstal,"359,000",3,120,None,0,None,300,740,2,None,Good,mixed-use-building
beveren,"325,000",2,97,Hyper equipped,0,17,None,None,None,None,As new,duplex
hasselt,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
montignies-sur-sambre,"115,000",3,120,Not installed,None,None,119,189,2,None,To renovate,house
braine-lalleud,"319,500",2,90,USA hyper equipped,0,10,None,None,4,0,None,apartment
ganshoren,"210,000",2,85,Installed,0,None,None,None,2,None,As new,apartment
lasne,"2,450,000",8,730,Hyper equipped,None,None,None,3000,4,1,As new,exceptional-property
duffel,"229,000",5,150,None,0,None,None,180,2,None,To renovate,house
aalst,"569,000",3,216,Hyper equipped,1,25,None,100,None,None,As new,house
mechelen,"276,000",2,70,Hyper equipped,0,3,None,None,None,None,As new,apartment
auderghem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
drogenbos,"450,000",3,125,Hyper equipped,0,None,None,141,3,None,Just renovated,house
uccle,"1,350,000",3,228,Hyper equipped,0,61,300,None,3,0,As new,ground-floor
schaerbeek,"275,000",1,78,Hyper equipped,0,None,None,None,4,0,As new,apartment
